Class,Attribute Name,Technical Name,Table Name,Pseudo_Code,nl_description
cmdb_ci_service_discovered,Support Group,support_group,cmdb_ci_service_discovered,"SUM(CASE WHEN support_group IS NULL OR support_group = '' THEN 1 ELSE 0 END)","support_group must be populated and active. Counts rows where support_group is NULL or empty, has less than 2 active members, group manager is inactive, or group type is not ITIL/Support."
cmdb_ci_service_discovered,Operating Business,operating_business,cmdb_ci_service_discovered,"SUM(CASE WHEN operating_business IS NULL OR operating_business = '' THEN 1 ELSE 0 END)","Operating Business cannot be empty. Counts rows where operating_business is NULL or blank."
cmdb_ci_service_discovered,Operating SOM,u_operating_mode,cmdb_ci_computer,"SUM(CASE WHEN u_operating_mode IS NULL OR u_operating_mode = '' THEN 1 ELSE 0 END)","Operating SOM must be populated and map to operating Business framework. Counts rows where u_operating_mode is NULL or empty, or does not map to valid operating Business framework."
cmdb_ci_service_discovered,Portfolio Manager,portfolio_manager,sys_user,"SUM(CASE WHEN portfolio_manager IS NULL OR portfolio_manager = '' OR portfolio_manager NOT IN (SELECT sys_id FROM sys_user WHERE active = 1) THEN 1 ELSE 0 END)","Portfolio_manager must be an active user. Counts rows where portfolio_manager is NULL, empty, or references an inactive or non-existent user."
cmdb_ci_service_discovered,IDT Manager,idt_manager,cmdb_ci_service_discovered,"SUM(CASE WHEN idt_manager IS NULL OR idt_manager = '' OR idt_manager NOT IN (SELECT sys_id FROM sys_user WHERE active = 1) THEN 1 ELSE 0 END)","IDT Manager must be an active user. Cannot be blank for Type IS Application Deployment. Counts rows where idt_manager is NULL, empty, or references inactive user."
cmdb_ci_service_discovered,CI owner,ci_owner,cmdb_ci_service_discovered,"SUM(CASE WHEN ci_owner IS NULL OR ci_owner = '' OR ci_owner NOT IN (SELECT sys_id FROM sys_user WHERE active = 1) THEN 1 ELSE 0 END)","CI owner must be an active user. Cannot be blank. Counts rows where ci_owner is NULL, empty, or references inactive user."
cmdb_ci_service_discovered,Business Application Owner,business_application_owner,cmdb_ci_service_discovered,"SUM(CASE WHEN business_application_owner IS NULL OR business_application_owner = '' OR business_application_owner NOT IN (SELECT sys_id FROM sys_user WHERE active = 1) THEN 1 ELSE 0 END)","Business Application Owner must be an active user. Cannot be blank for Type IS Application Deployment. Counts rows where business_application_owner is NULL, empty, or references inactive user."
cmdb_ci_service_discovered,Tier,tier,cmdb_ci_service_discovered,"SUM(CASE WHEN tier IS NULL OR tier = '' OR tier = 'Unspecified' OR tier = 'NONE' OR tier NOT IN ('Super Prime', 'Prime', 'Essential', 'Maintenance', 'Consumption', 'Tier 1', 'Tier 2', 'Tier 3', 'Tier 4') THEN 1 ELSE 0 END)","Tier value must be one of the allowed values (Super Prime, Prime, Essential, Maintenance, Consumption, Tier 1, Tier 2, Tier 3, Tier 4) and not be Unspecified or NONE. Counts rows where tier is NULL, empty, Unspecified, NONE, or contains invalid values."
cmdb_ci_service_discovered,Planned Go Live Date,planned_go_live_date,cmdb_ci_service_discovered,"SUM(CASE WHEN planned_go_live_date IS NULL OR planned_go_live_date = '' OR (planned_go_live_date < CURRENT_DATE AND environment != 'production') OR (planned_go_live_date < CURRENT_DATE AND application_service_status = 'Build in Progress') THEN 1 ELSE 0 END)","Planned Go Live Date must not be empty. Environment should be production. If planned go live date is in the past, then Application Service status should not be 'Build in Progress'. Counts rows violating these conditions."
cmdb_ci_circuit,CI Owner,ci_owner,cmdb_ci_circuit,"SUM(CASE WHEN ci_owner IS NULL OR ci_owner = '' OR ci_owner NOT IN (SELECT sys_id FROM sys_user WHERE active = 1) OR control_domain LIKE '%Lightly Managed Devices%' OR control_domain LIKE '%Business Managed Devices%' OR install_status != 'Installed' THEN 1 ELSE 0 END)","CI_owner must be populated and reference an active user. Counts rows where field is NULL, empty, references inactive user, or Control Domain contains 'Lightly/Business Managed Devices', or Install Status is not 'Installed'."
cmdb_ci_circuit,Cost Centre,cost_centre,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type IN ('Circuit', 'TPA') AND (cost_centre IS NULL OR cost_centre = '' OR cost_centre NOT IN (SELECT sys_id FROM cost_center WHERE active = 1)) THEN 1 ELSE 0 END)","Cost Centre must be active where Circuit Type is one of (Circuit, TPA). Counts rows where cost_centre is NULL, empty, or references inactive cost center when applicable. Requires Install Status = Installed."
cmdb_ci_circuit,Company,company,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type IN ('Circuit', 'PTT Device', 'TPA') AND (company IS NULL OR company = '' OR company NOT IN (SELECT sys_id FROM company WHERE active = 1)) THEN 1 ELSE 0 END)","Company must be active where Circuit Type is one of (Circuit, PTT Device, TPA). Counts rows where company is NULL, empty, or references inactive company when applicable. Requires Install Status = Installed."
cmdb_ci_circuit,Operating Business,operating_business,cmdb_ci_circuit,"SUM(CASE WHEN operating_business IS NULL OR operating_business = '' THEN 1 ELSE 0 END)","Operating Business cannot be empty. Counts rows where operating_business is NULL or blank. Requires Install Status = Installed."
cmdb_ci_circuit,Operating SOM,operating_som,cmdb_ci_circuit,"SUM(CASE WHEN operating_som IS NULL OR operating_som = '' THEN 1 ELSE 0 END)","Operating SOM cannot be empty. Counts rows where operating_som is NULL or blank. Requires Install Status = Installed."
cmdb_ci_circuit,Approval Group,approval_group,cmdb_ci_circuit,"SUM(CASE WHEN approval_group IS NULL OR approval_group = '' OR approval_group NOT IN (SELECT sys_id FROM sys_group WHERE active = 1 AND group_manager_active = 1 AND group_type LIKE '%change approval%' AND active_members >= 2) THEN 1 ELSE 0 END)","Approval Group cannot be empty. Group should be active with active group manager, type containing 'change approval', and minimum 2 active members. Counts non-compliant rows. Requires Install Status = Installed."
cmdb_ci_circuit,Location,location,cmdb_ci_circuit,"SUM(CASE WHEN location IS NULL OR location = '' OR location NOT IN (SELECT sys_id FROM location WHERE active = 1) THEN 1 ELSE 0 END)","Location cannot be blank and must be active. Counts rows where location is NULL, empty, or references inactive location. Requires Install Status = Installed."
cmdb_ci_circuit,Access Circuit Speed,access_circuit_speed,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type IN ('Circuit', 'Tunnel') AND (access_circuit_speed IS NULL OR access_circuit_speed = '') THEN 1 ELSE 0 END)","Access Circuit Speed cannot be blank when Type IN (Circuit, Tunnel). Counts rows violating this conditional requirement. Requires Install Status = Installed."
cmdb_ci_circuit,Requisition RITM,requisition_ritm,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type IN ('Circuit', 'TPA') AND (requisition_ritm IS NULL OR requisition_ritm = '') THEN 1 ELSE 0 END)","Requisition RITM cannot be empty for Type IN (Circuit, TPA). Counts rows where requisition_ritm is NULL or blank when applicable. Requires Install Status = Installed."
cmdb_ci_circuit,A end Interface,a_end_interface,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type IN ('Tunnel', 'TPA') AND (a_end_interface IS NULL OR a_end_interface = '') THEN 1 ELSE 0 END)","A end Interface cannot be blank when Type IN (Tunnel, TPA). Counts rows where a_end_interface is NULL or empty when applicable. Requires Install Status = Installed."
cmdb_ci_circuit,Category,category,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type = 'Circuit' AND (category IS NULL OR category = '' OR category NOT IN ('Voice', 'Data')) THEN 1 ELSE 0 END)","Category cannot be empty for Type = Circuit and value should be one of 'Voice' or 'Data'. Counts rows where category is NULL, empty, or contains invalid values. Requires Install Status = Installed."
cmdb_ci_circuit,Service Type,service_type,cmdb_ci_circuit,"SUM(CASE WHEN circuit_type = 'Circuit' AND (service_type IS NULL OR service_type = 'None') THEN 1 ELSE 0 END)","Service Type cannot be None for Type = Circuit. Counts rows where service_type is NULL or set to 'None'. Requires Install Status = Installed."
